sid,bonus,average_qansII,num_less_400,error_num,iat_order,num_worker,undstd_Q,IAT_score
2819f300-4c07-11e9-afa4-005056a4a701-78498,2.0,1.7,160,72,2,4,1,0
c8291190-4c17-11e9-b667-005056a4a701-81861,2.0,1.6,74,68,2,4,0,0.74
f45f57c4-4c17-11e9-b667-005056a4a701-81861,2.0,1.6,0,6,2,2,1,-0.31
e275b4e0-4c17-11e9-b667-005056a4a701-81861,2.0,1.7,74,47,2,2,0,-0.6
68818e4c-4c18-11e9-b667-005056a4a701-81861,2.0,1.4,136,88,2,2,0,0.55
f3900670-4c19-11e9-b667-005056a4a701-81861,2.0,1.2,153,76,2,4,0,0.84
f122402a-4c18-11e9-b667-005056a4a701-81861,2.0,1.9,0,11,2,4,0,-0.12
ec41b5c2-4c18-11e9-b667-005056a4a701-81861,2.0,1.8,145,90,2,2,0,-0.08
08230afe-4c1c-11e9-b667-005056a4a701-81861,2.0,1.3,144,81,2,2,1,0.97
945add32-4c1a-11e9-b667-005056a4a701-81861,2.0,1.8,0,9,2,4,1,-0.56
a6ec175c-4c1c-11e9-b667-005056a4a701-81861,2.0,1.3,0,14,2,2,1,-0.07
6b5b02c2-4c1a-11e9-b667-005056a4a701-81861,3.0,2.0,4,53,2,8,1,-0.14
94ac2c54-4c1b-11e9-b667-005056a4a701-81861,2.0,1.4,0,23,2,8,1,-0.21
d26b5710-4c1e-11e9-b667-005056a4a701-81861,2.0,1.2,145,95,2,2,1,-0.76
5e76c1ac-4c21-11e9-b667-005056a4a701-81861,2.0,1.8,0,13,2,2,1,-0.11
1977815e-4c1c-11e9-b667-005056a4a701-81861,2.0,1.9,73,60,2,4,0,0.69
d46bd44a-4c23-11e9-b667-005056a4a701-81861,2.0,1.5,0,35,2,2,0,0.07
f6585974-4c24-11e9-b667-005056a4a701-81861,3.0,2.2,2,20,2,8,1,0.15
0ac7a44c-4c24-11e9-b667-005056a4a701-81861,2.0,1.5,1,20,2,8,1,0.1
e5cc7e08-4c30-11e9-b667-005056a4a701-81861,2.0,1.3,78,37,2,8,0,-2.88
a173730c-4c39-11e9-b667-005056a4a701-81861,2.0,1.7,0,13,2,2,1,-0.36
9976a226-4d12-11e9-9643-005056a4a701-126175,2.0,1.8,157,80,2,8,1,0.58
50730028-4d13-11e9-9643-005056a4a701-126175,2.0,1.5,159,68,2,2,0,0
3fe6cec8-4d14-11e9-9643-005056a4a701-126175,2.0,1.9,160,81,2,4,1,0
01f868d0-4d17-11e9-9eb8-005056a4a701-126935,2.0,1.6,159,72,2,4,1,0
e68b0660-4d17-11e9-9eb8-005056a4a701-126935,2.0,1.6,158,79,2,2,1,0
f76dc9b8-4d17-11e9-9eb8-005056a4a701-126935,2.0,1.9,5,36,2,4,1,0.02
efe16dd0-4d17-11e9-9eb8-005056a4a701-126935,2.0,1.4,0,23,2,2,1,0.04
f6822120-4d17-11e9-9eb8-005056a4a701-126935,2.0,1.8,154,82,2,4,1,1.14
f43cd388-4d17-11e9-9eb8-005056a4a701-126935,3.0,2.2,1,22,2,2,1,-0.27
df76ce54-4d17-11e9-9eb8-005056a4a701-126935,3.0,2.2,1,18,2,2,1,-0.08
fedb0a4e-4d17-11e9-9eb8-005056a4a701-126935,2.0,1.6,0,18,2,2,1,-0.28
e6909706-4d17-11e9-9eb8-005056a4a701-126935,2.0,1.5,74,50,2,4,0,-0.63
454dd68c-4d18-11e9-9eb8-005056a4a701-126935,2.0,1.3,0,29,2,2,1,-0.72
e4b66e56-4d17-11e9-9eb8-005056a4a701-126935,2.0,1.5,0,15,2,2,1,-0.08
061e13a0-4d18-11e9-9eb8-005056a4a701-126935,2.0,1.8,0,18,2,4,1,-0.38
015db410-4d18-11e9-9eb8-005056a4a701-126935,1.0,0.8,1,51,2,4,1,0.32
ef1dd500-4d17-11e9-9eb8-005056a4a701-126935,2.0,1.6,0,20,2,2,1,-0.76
f6161ca0-4d17-11e9-9eb8-005056a4a701-126935,2.0,1.3,155,84,2,2,0,-0.86
185975e6-4d18-11e9-9eb8-005056a4a701-126935,2.0,1.8,0,10,2,2,1,0.15
ed375356-4d17-11e9-9eb8-005056a4a701-126935,2.0,1.1,0,8,2,4,1,0.04
28973f2e-4d18-11e9-9eb8-005056a4a701-126935,2.0,1.5,0,5,2,4,1,-0.38
e44465ea-4d17-11e9-9eb8-005056a4a701-126935,3.0,2.2,0,30,2,4,1,0.0
ecfb30b0-4d17-11e9-9eb8-005056a4a701-126935,2.0,1.2,0,16,2,2,1,-0.11
b9f8f462-4d18-11e9-9eb8-005056a4a701-126935,2.0,1.1,63,49,2,2,1,-0.27
de765312-4d17-11e9-9eb8-005056a4a701-126935,3.0,2.1,0,1,2,2,1,-0.21
09202f02-4d18-11e9-9eb8-005056a4a701-126935,2.0,1.7,96,69,2,8,0,-0.54
0696eece-4d18-11e9-9eb8-005056a4a701-126935,2.0,1.4,0,24,2,8,1,-0.06
3ab7f3f6-4d18-11e9-9eb8-005056a4a701-126935,2.0,1.8,1,12,2,2,1,-0.63
16ec33e2-4d18-11e9-9eb8-005056a4a701-126935,2.0,1.6,0,3,2,4,1,-0.2
1e058232-4d18-11e9-9eb8-005056a4a701-126935,2.0,1.6,0,4,2,2,1,-0.28
fd81c584-4d17-11e9-9eb8-005056a4a701-126935,2.0,1.8,0,10,2,2,1,-0.32
058b464c-4d18-11e9-9eb8-005056a4a701-126935,2.0,1.3,0,1,2,4,1,0.1
e280d5c2-4d17-11e9-9eb8-005056a4a701-126935,2.0,1.4,23,73,2,8,0,0.76
da45d7c2-4d17-11e9-9eb8-005056a4a701-126935,2.0,1.9,0,36,2,8,1,-0.28
d4a8fd70-4d18-11e9-9eb8-005056a4a701-126935,2.0,1.8,0,13,2,2,1,0.11
0d9b3496-4d18-11e9-9eb8-005056a4a701-126935,2.0,1.5,2,19,2,2,1,-0.29
f6c2c3f6-4d17-11e9-9eb8-005056a4a701-126935,2.0,1.5,2,28,2,4,1,-0.45
e9c76cd8-4d17-11e9-9eb8-005056a4a701-126935,2.0,1.3,122,69,2,2,0,0.19
b507bba0-4d18-11e9-9eb8-005056a4a701-126935,2.0,1.4,12,54,2,2,0,0.05
e8f9b496-4d17-11e9-9eb8-005056a4a701-126935,2.0,1.8,0,26,2,8,1,-0.25
c89862b4-4d18-11e9-9eb8-005056a4a701-126935,2.0,1.5,0,8,2,8,1,0.15
3ccc9b60-4d18-11e9-9eb8-005056a4a701-126935,2.0,1.4,11,53,2,8,0,0.14
f4b1609a-4d17-11e9-9eb8-005056a4a701-126935,3.0,2.2,7,51,2,8,1,0.6
e94513d2-4d17-11e9-9eb8-005056a4a701-126935,2.0,1.1,0,11,2,2,1,-1.24
4a53d5a0-4d18-11e9-9eb8-005056a4a701-126935,2.0,1.1,0,9,2,2,1,0.05
22e107d0-4d19-11e9-9eb8-005056a4a701-126935,3.0,2.1,0,6,2,2,1,-0.21
9f14a8ca-4d19-11e9-9eb8-005056a4a701-126935,2.0,1.4,2,27,2,2,1,-0.33
345e0996-4d18-11e9-9eb8-005056a4a701-126935,2.0,1.8,0,7,2,2,1,-0.29
7aeb9fea-4d18-11e9-9eb8-005056a4a701-126935,2.0,1.4,0,18,2,4,1,-0.09
3e89d8d2-4d18-11e9-9eb8-005056a4a701-126935,2.0,1.7,0,8,2,8,1,-0.12
fb62bf88-4d17-11e9-9eb8-005056a4a701-126935,3.0,2.0,27,30,2,4,0,-0.42
341115fa-4d18-11e9-9eb8-005056a4a701-126935,2.0,1.1,0,35,2,8,0,-0.15
d80d0016-4d17-11e9-9eb8-005056a4a701-126935,2.0,1.5,0,9,2,2,0,0.17
e94b11f6-4d17-11e9-9eb8-005056a4a701-126935,2.0,1.9,5,18,2,4,1,-0.46
1e15464a-4d18-11e9-9eb8-005056a4a701-126935,3.0,2.1,0,20,2,2,1,-0.46
16005ada-4d18-11e9-9eb8-005056a4a701-126935,2.0,1.3,148,83,2,8,1,-0.38
09177f10-4d18-11e9-9eb8-005056a4a701-126935,2.0,1.7,0,9,2,4,0,-0.46
2ca3268c-4d18-11e9-9eb8-005056a4a701-126935,3.0,2.1,0,8,2,2,0,0.02
f81ed302-4d17-11e9-9eb8-005056a4a701-126935,2.0,1.5,1,26,2,8,1,0.07
fce716c4-4d17-11e9-9eb8-005056a4a701-126935,2.0,1.6,1,26,2,2,1,-0.05
2c96ec4e-4d1a-11e9-9eb8-005056a4a701-126935,2.0,1.3,110,82,2,4,1,0.59
365cb17e-4d19-11e9-9eb8-005056a4a701-126935,2.0,1.5,66,64,2,4,1,0.33
eceb5460-4d17-11e9-9eb8-005056a4a701-126935,2.0,1.2,0,14,2,4,0,-0.41
c6bb147c-4d19-11e9-9eb8-005056a4a701-126935,3.0,2.0,0,7,2,4,0,-0.55
4d89e8da-4d19-11e9-9eb8-005056a4a701-126935,2.0,1.9,1,5,2,2,1,-0.11
06ff8bbe-4d18-11e9-9eb8-005056a4a701-126935,2.0,1.2,0,17,2,2,1,-0.38
a0f6d54a-4d1a-11e9-9eb8-005056a4a701-126935,2.0,1.6,50,84,2,8,0,-0.25
43780cec-4d18-11e9-9eb8-005056a4a701-126935,3.0,2.5,0,3,2,4,1,-0.46
87375652-4d1a-11e9-9eb8-005056a4a701-126935,2.0,1.8,0,19,2,4,1,0.12
c58cffa6-4d1a-11e9-9eb8-005056a4a701-126935,2.0,1.5,0,11,2,4,0,-0.29
37a3b538-4d18-11e9-9eb8-005056a4a701-126935,2.0,1.7,0,9,2,8,0,0.13
6fa21832-4d1b-11e9-9eb8-005056a4a701-126935,2.0,1.7,155,81,2,4,1,-0.85
dd7617f2-4d19-11e9-9eb8-005056a4a701-126935,2.0,1.9,0,5,2,8,1,-0.48
ecd8548c-4d17-11e9-9eb8-005056a4a701-126935,2.0,1.6,0,7,2,8,1,0.18
fd91dcb4-4d1a-11e9-9eb8-005056a4a701-126935,2.0,1.2,2,35,2,2,1,-0.75
783de814-4d1a-11e9-9eb8-005056a4a701-126935,2.0,1.5,0,25,2,2,1,-0.56
d8866fa2-4d1a-11e9-9eb8-005056a4a701-126935,2.0,1.7,61,58,2,2,1,0.47
25ea4a3c-4d18-11e9-9eb8-005056a4a701-126935,2.0,1.2,73,75,2,8,1,-0.44
4cdd5f92-4d1a-11e9-9eb8-005056a4a701-126935,2.0,1.7,2,23,2,2,1,-0.51
f57c9f82-4d1a-11e9-9eb8-005056a4a701-126935,1.0,0.9,149,77,2,8,0,-1.02
8f21f368-4d1a-11e9-9eb8-005056a4a701-126935,2.0,1.3,0,13,2,8,1,-0.3
893d5014-4d1a-11e9-9eb8-005056a4a701-126935,2.0,1.3,0,5,2,8,1,-0.12
8c678b60-4d1a-11e9-9eb8-005056a4a701-126935,2.0,1.3,0,6,2,4,1,0.07
4d8dcc80-4d18-11e9-9eb8-005056a4a701-126935,2.0,1.7,9,25,2,2,0,-0.09
96e476ee-4d19-11e9-9eb8-005056a4a701-126935,2.0,1.6,0,3,2,2,1,-0.23
19cef23e-4d18-11e9-9eb8-005056a4a701-126935,2.0,1.2,2,25,2,2,0,-0.29
3da55bb2-4d18-11e9-9eb8-005056a4a701-126935,2.0,1.3,0,19,2,2,1,-0.07
cfc9ea1e-4d1b-11e9-9eb8-005056a4a701-126935,2.0,1.8,1,12,2,2,1,-0.25
8efd6628-4d1b-11e9-9eb8-005056a4a701-126935,3.0,2.0,11,39,2,4,1,-0.2
080b4986-4d1c-11e9-9eb8-005056a4a701-126935,2.0,1.8,0,12,2,4,1,-0.72
ac5ebaa0-4d1b-11e9-9eb8-005056a4a701-126935,2.0,1.5,0,4,2,4,1,0.18
11b40436-4d18-11e9-9eb8-005056a4a701-126935,2.0,1.8,1,26,2,4,1,-0.48
272930b4-4d1a-11e9-9eb8-005056a4a701-126935,3.0,2.1,0,11,2,2,1,0.11
e51386bc-4d18-11e9-9eb8-005056a4a701-126935,2.0,1.2,0,20,2,2,1,-0.11
f1cca330-4d1c-11e9-9eb8-005056a4a701-126935,2.0,1.8,154,67,2,2,1,0.9
1c5c46b2-4d1a-11e9-9eb8-005056a4a701-126935,2.0,1.2,32,43,2,8,0,0.31
033bd9a6-4d18-11e9-9eb8-005056a4a701-126935,2.0,1.5,0,27,2,8,1,-0.09
ee0760dc-4d1c-11e9-9eb8-005056a4a701-126935,2.0,1.2,147,86,2,2,1,-0.61
01259c84-4d1c-11e9-9eb8-005056a4a701-126935,2.0,1.4,0,5,2,2,1,-0.07
a6599fae-4d1a-11e9-9eb8-005056a4a701-126935,2.0,1.8,0,16,2,4,1,-0.38
0eafd424-4d1b-11e9-9eb8-005056a4a701-126935,2.0,1.4,34,64,2,4,0,-0.38
e57e93b0-4d1a-11e9-9eb8-005056a4a701-126935,2.0,1.4,0,48,2,8,0,-0.01
3ca16fc0-4d19-11e9-9eb8-005056a4a701-126935,2.0,1.6,75,63,2,4,0,-0.24
3b2d4ff0-4d1a-11e9-9eb8-005056a4a701-126935,2.0,1.2,0,18,2,4,0,-0.2
bb1171d2-4d1b-11e9-9eb8-005056a4a701-126935,2.0,1.8,0,4,2,4,1,-0.29
83c26bbc-4d18-11e9-9eb8-005056a4a701-126935,2.0,1.6,8,74,2,4,1,0.42
44ea130a-4d1c-11e9-9eb8-005056a4a701-126935,2.0,1.5,3,19,2,4,1,-0.51
b894e90e-4d19-11e9-9eb8-005056a4a701-126935,2.0,1.8,1,8,2,2,1,-0.59
e6334f88-4d17-11e9-9eb8-005056a4a701-126935,2.0,1.5,85,58,2,8,1,-0.19
3664cbc0-4d19-11e9-9eb8-005056a4a701-126935,2.0,1.4,65,32,2,8,1,0.23
1ac33cfe-4d1d-11e9-9eb8-005056a4a701-126935,2.0,1.9,0,7,2,2,1,-0.27
4e1c5a5a-4d1c-11e9-9eb8-005056a4a701-126935,2.0,1.2,1,7,2,2,1,-0.39
424e0130-4d1a-11e9-9eb8-005056a4a701-126935,2.0,1.6,0,10,2,4,1,-0.12
cfeb24a4-4d1b-11e9-9eb8-005056a4a701-126935,3.0,2.2,0,43,2,8,1,-0.58
5161d236-4d1b-11e9-9eb8-005056a4a701-126935,2.0,1.8,0,12,2,8,1,0.19
69c4e1ac-4d1a-11e9-9eb8-005056a4a701-126935,2.0,1.4,0,23,2,2,1,-0.4
8a508098-4d1a-11e9-9eb8-005056a4a701-126935,2.0,1.1,0,9,2,8,0,0.07
37c3b0ba-4d1b-11e9-9eb8-005056a4a701-126935,3.0,2.3,0,5,2,8,1,-0.34
d5895520-4d1b-11e9-9eb8-005056a4a701-126935,2.0,1.6,144,82,2,2,0,-0.34
c7203902-4d18-11e9-9eb8-005056a4a701-126935,2.0,1.4,0,6,2,2,1,0.16
fc5fccc4-4d1b-11e9-9eb8-005056a4a701-126935,2.0,1.6,0,7,2,2,1,0.07
7f702c7a-4d18-11e9-9eb8-005056a4a701-126935,2.0,1.6,0,24,2,4,1,-0.24
0d93f250-4d1b-11e9-9eb8-005056a4a701-126935,2.0,1.5,1,44,2,2,1,0.1
d508d5f6-4d18-11e9-9eb8-005056a4a701-126935,2.0,1.3,0,12,2,2,1,-0.51
b6e9bfe8-4d1a-11e9-9eb8-005056a4a701-126935,2.0,1.5,0,4,2,2,0,0.19
cc72d144-4d1d-11e9-9eb8-005056a4a701-126935,2.0,1.2,0,16,2,2,1,-0.27
dea13388-4d1d-11e9-9eb8-005056a4a701-126935,2.0,1.2,30,50,2,2,1,-0.45
16208972-4d1d-11e9-9eb8-005056a4a701-126935,2.0,1.2,129,75,2,2,0,0.35
146bae6a-4d1b-11e9-9eb8-005056a4a701-126935,2.0,1.4,12,67,2,2,1,-0.19
ef98fb90-4d17-11e9-9eb8-005056a4a701-126935,2.0,1.8,0,20,2,8,1,-0.19
429ce01e-4d1c-11e9-9eb8-005056a4a701-126935,3.0,2.0,107,79,2,4,1,-0.6
cc10df3c-4d1a-11e9-9eb8-005056a4a701-126935,2.0,1.7,0,19,2,8,0,0.07
be5f2292-4d1d-11e9-9eb8-005056a4a701-126935,2.0,1.5,0,12,2,8,1,0.21
24aad480-4d1c-11e9-9eb8-005056a4a701-126935,3.0,2.2,127,79,2,4,1,0.25
efe52722-4d17-11e9-9eb8-005056a4a701-126935,2.0,1.6,149,78,2,8,0,0.53
a72474d2-4d1e-11e9-9eb8-005056a4a701-126935,2.0,1.8,0,11,2,2,1,-0.28
87220b7c-4d1e-11e9-9eb8-005056a4a701-126935,2.0,1.6,0,3,2,2,1,-0.13
7ed99e28-4d1c-11e9-9eb8-005056a4a701-126935,2.0,1.2,0,13,2,8,1,-0.67
424dab68-4d1f-11e9-9eb8-005056a4a701-126935,2.0,1.6,0,6,2,2,1,-0.61
e655c656-4d1e-11e9-9eb8-005056a4a701-126935,2.0,1.8,0,4,2,4,1,-0.6
b844c9e2-4d1e-11e9-9eb8-005056a4a701-126935,2.0,1.7,0,19,2,8,1,0.43
9122025c-4d1f-11e9-9eb8-005056a4a701-126935,2.0,1.4,154,66,2,4,1,-0.53
8d996c32-4d20-11e9-9eb8-005056a4a701-126935,2.0,1.5,99,84,2,2,1,0.36
b0ef8b64-4d1e-11e9-9eb8-005056a4a701-126935,3.0,2.1,0,10,2,8,1,-0.02
4e7012b6-4d1d-11e9-9eb8-005056a4a701-126935,3.0,2.0,0,0,2,2,1,-0.71
c44c0564-4d20-11e9-9eb8-005056a4a701-126935,2.0,1.5,0,4,2,8,1,-0.24
874d8a4e-4d1a-11e9-9eb8-005056a4a701-126935,2.0,1.6,1,31,2,4,1,-0.54
c26021ce-4d1e-11e9-9eb8-005056a4a701-126935,2.0,1.5,0,11,2,4,None,0.31
a62401e2-4d1e-11e9-9eb8-005056a4a701-126935,2.0,1.3,0,8,2,8,1,0.0
b4d269fe-4d1e-11e9-9eb8-005056a4a701-126935,2.0,1.3,1,25,2,8,0,0.13
c4908ba4-4d1f-11e9-9eb8-005056a4a701-126935,2.0,1.4,0,21,2,8,1,-0.3
b697e426-4d1e-11e9-9eb8-005056a4a701-126935,2.0,1.9,0,26,2,4,1,0.19
9dbc0380-4d21-11e9-9eb8-005056a4a701-126935,2.0,1.5,156,81,2,4,0,-0.85
d60da670-4d18-11e9-9eb8-005056a4a701-126935,2.0,1.1,0,25,2,4,0,0.3
e4155e10-4d1e-11e9-9eb8-005056a4a701-126935,2.0,1.8,0,8,2,2,1,-0.29
8e5eccca-4d20-11e9-9eb8-005056a4a701-126935,2.0,1.4,0,7,2,8,1,-0.49
cb5b56ee-4d1f-11e9-9eb8-005056a4a701-126935,2.0,1.2,1,14,2,4,1,-0.04
499a1780-4d1f-11e9-9eb8-005056a4a701-126935,2.0,1.3,0,4,2,4,1,0.15
af79c4a2-4d1e-11e9-9eb8-005056a4a701-126935,2.0,1.1,0,17,2,8,1,-0.28
70cc6ddc-4d22-11e9-9eb8-005056a4a701-126935,2.0,1.8,32,83,2,4,1,0.0
3352cdb6-4d22-11e9-9eb8-005056a4a701-126935,2.0,1.2,0,15,2,8,1,-0.14
87a01ebe-4d22-11e9-9eb8-005056a4a701-126935,2.0,1.0,0,14,2,2,1,-0.19
691ef5ea-4d23-11e9-9eb8-005056a4a701-126935,3.0,2.1,0,7,2,2,1,0.09
0d789386-4d23-11e9-9eb8-005056a4a701-126935,2.0,1.6,0,10,2,8,1,0.35
9bb105e4-4d22-11e9-9eb8-005056a4a701-126935,3.0,2.1,0,3,2,2,1,-0.52
d05e832c-4d20-11e9-9eb8-005056a4a701-126935,2.0,1.3,0,5,2,4,0,-0.11
913a9b50-4d1f-11e9-9eb8-005056a4a701-126935,2.0,1.1,0,11,2,2,1,-0.4
4c62d27e-4d22-11e9-9eb8-005056a4a701-126935,3.0,2.0,5,45,2,8,1,-0.68
8901e838-4d21-11e9-9eb8-005056a4a701-126935,2.0,1.7,0,0,2,8,1,-0.36
452bcf5a-4d23-11e9-9eb8-005056a4a701-126935,2.0,1.8,0,15,2,2,1,0.15
e6afd2f0-4d22-11e9-9eb8-005056a4a701-126935,2.0,1.4,112,77,2,2,0,1.08
02b10396-4d25-11e9-9eb8-005056a4a701-126935,2.0,1.3,151,82,2,4,1,0.42
4b78d1e4-4d25-11e9-9eb8-005056a4a701-126935,2.0,1.2,113,86,2,2,1,-0.32
a1b513fc-4d24-11e9-9eb8-005056a4a701-126935,2.0,1.5,156,80,2,8,1,0.51
de79788c-4d24-11e9-9eb8-005056a4a701-126935,1.0,0.9,147,76,2,8,0,-0.3
c1c9f8ba-4d1f-11e9-9eb8-005056a4a701-126935,2.0,1.6,0,9,2,4,1,-0.53
deb6e80a-4d26-11e9-9eb8-005056a4a701-126935,2.0,1.4,153,71,2,4,1,0.51
05787458-4d23-11e9-9eb8-005056a4a701-126935,2.0,1.8,0,10,2,2,1,0.12
848ad4d2-4d25-11e9-9eb8-005056a4a701-126935,2.0,1.8,11,54,2,4,0,0.2
c98e26d4-4d24-11e9-9eb8-005056a4a701-126935,2.0,1.6,0,4,2,2,1,-0.26
fb535b28-4d27-11e9-9eb8-005056a4a701-126935,2.0,1.4,9,23,2,4,1,0.02
e5a1db78-4d28-11e9-9eb8-005056a4a701-126935,2.0,1.6,40,69,2,2,1,-0.33
444be450-4d26-11e9-9eb8-005056a4a701-126935,2.0,1.8,154,84,2,8,0,0.04
4960e7d8-4d26-11e9-9eb8-005056a4a701-126935,2.0,1.0,0,6,2,2,1,-0.24
1d1aa852-4d27-11e9-9eb8-005056a4a701-126935,2.0,1.2,53,67,2,8,0,-0.25
43d6b516-4d28-11e9-9eb8-005056a4a701-126935,2.0,1.6,0,12,2,2,1,0.05
facf61f6-4d2c-11e9-9eb8-005056a4a701-126935,2.0,1.8,73,75,2,4,1,-0.03
1da966be-4d2c-11e9-9eb8-005056a4a701-126935,3.0,2.2,0,10,2,4,0,-0.07
7e0d3d6a-4d30-11e9-9eb8-005056a4a701-126935,2.0,1.2,0,13,2,2,1,-0.57
